,Basic Materials_PC1,Basic Materials_PC2,Basic Materials_PC3,Basic Materials_PC4,Basic Materials_PC5,Basic Materials_PC6,Basic Materials_PC7,Basic Materials_PC8,Basic Materials_PC9,Basic Materials_PC10,Basic Materials_PC11,Basic Materials_PC12
TATASTEEL.NS,0.6869570523927827,-0.13348162647859474,-0.34922986932391614,0.3582200492793746,-0.31579983897594865,-0.03202527193913827,-0.14681781586417694,-0.08835267741574361,-0.13382326807360528,-0.19825687850154697,0.016223166624717313,-0.23314345851698323
JSWSTEEL.NS,0.8467708406849719,-0.08404661049612736,0.014481707919559767,0.0734339821890423,-0.2801839802693775,-0.07240850842947431,-0.19028862265644766,0.07251045323331148,0.10491296425389043,0.019542975343273296,-0.024076834804708375,0.06667206286043363
HINDALCO.NS,0.7132911953397689,-0.44014884535124227,-0.053812843457759565,-0.07622778676847054,-0.16460339607684768,0.16025363715216093,-0.04386583251340589,-0.11353913306116246,0.41008480677326115,-0.06813644111088733,0.02478815088168186,0.05744640663575253
JINDALSTEL.NS,0.7790650495045575,-0.31616667760013145,-0.049937180150867025,0.15469153001532665,0.05404909804771538,-0.012633347795065638,-0.1633087094104036,0.014950715000893892,-0.15850048366491398,0.3188009853281633,0.27606932094602454,0.1495558046799046
HINDZINC.NS,0.6033219272266331,-0.304588726740125,0.20352074017322822,-0.4337678757291918,0.3052426969713807,-0.24262012144468909,-0.12943843143774375,0.10892385658074308,-0.0682131133747123,-0.2955934694228,0.19912195045813988,-0.04342695868986248
VEDL.NS,0.6787498238812303,-0.3595579233457051,0.10187873871527267,-0.4228922650112951,0.1420956329624705,0.03654200487742021,-0.05170775301233471,-0.2211929537607459,-0.012815570629757366,0.2247028462426739,-0.2334504119313527,-0.16375894689983092
SAIL.NS,0.8574044107566215,-0.17973250396177654,-0.1556138932032202,0.014480710560232994,-0.033920695063139585,-0.006412815362907393,0.12010900639372289,0.037425996227823735,-0.2640006543962582,-0.010286368319430627,-0.1788730099107566,0.060283830278841884
NMDC.NS,0.6509573095561763,-0.231466955182344,-0.2418714378194991,0.08427226635350327,0.10691186192233214,-0.15334933363160744,0.6292684896152005,-0.025237616719316326,0.04319550301796975,-0.03717100836828208,0.030615181943445435,0.04765353532428929
APLAPOLLO.NS,0.42509349176282774,-0.04459848525593346,0.4800613062166603,0.5695955104613715,0.33421869498806206,-0.30560212004755727,-0.10065980444424323,0.02954647170234719,0.10382337945142234,-0.018116532514620254,-0.18009409613892052,0.02264882053485272
RAMCOCEM.NS,0.37732108222951566,0.4747140508058316,0.5752448715379417,-0.04420718451966153,-0.3230712577127387,-0.22665121705351818,0.1949116964826048,-0.21365096850551432,0.0024861100878400566,0.08425170905896062,0.1739657883478428,-0.11991641228678472
ULTRACEMCO.NS,0.6539292580747804,0.5341284431852347,0.15105551572024786,-0.23732525581290148,-0.21398069503919284,-0.007224689795656245,-0.05376955029089071,-0.033051100499952274,-0.09988781224519896,-0.13058597886073284,-0.15463594915156686,0.273188994167975
ACC.NS,0.5613965939123281,0.603003064761877,-0.4019019664310423,0.0096828297390875,0.2445455845083657,-0.003677857264528085,-0.04933983339414057,-0.07466015745179966,0.13655026343654378,0.009975275542913152,0.08050043598797094,0.07284779951329716
AMBUJACEM.NS,0.5250864798990627,0.6761714203057511,-0.27443809516137146,0.004066666045305645,0.2893990967188954,0.016471712914414634,-0.09432603920325038,-0.1630806104339875,0.008234864303491168,0.019134807990098868,0.0031809813776782062,-0.1198835244200344
GRASIM.NS,0.7174941347664523,0.3367249697069902,0.0486037321293507,-0.09556463397361083,-0.06681075337834867,0.09908355071127445,0.07716546078230936,0.5360531704663425,0.08631402477227502,0.11483209041889976,-0.03020507583106916,-0.15981529986769136
TATACHEM.NS,0.51997101695636,0.021371791919951644,0.42083066802005864,0.18808594679374163,0.16697467707687322,0.6696978731214167,0.091074619692498,-0.05771470626865104,-0.07790815487031509,-0.11157606680347652,0.06748217707652054,-0.010481889706203012
