,Consumer Cyclical_PC1,Consumer Cyclical_PC2,Consumer Cyclical_PC3,Consumer Cyclical_PC4,Consumer Cyclical_PC5,Consumer Cyclical_PC6,Consumer Cyclical_PC7,Consumer Cyclical_PC8,Consumer Cyclical_PC9,Consumer Cyclical_PC10
BHARATFORG.NS,0.7022418656594372,-0.31106626761060685,-0.29445726122469734,0.07251751452779406,-0.23769802217642041,-0.07707443033412409,-0.2833176566345267,-0.338819101650787,0.0983403657204955,0.22779107424619136
EICHERMOT.NS,0.6412172359804661,0.15771221939456964,-0.34982491504687774,0.018266000178054718,0.5657953793874301,0.1491012855854322,-0.09181381385322959,-0.1615506045585332,0.09027560607184276,-0.2280581403716881
MARUTI.NS,0.5026814022174492,0.664738214898964,-0.10622922632567079,0.026102227415515003,0.1482879850701776,-0.3652446346571094,-0.18612030799993395,0.1874607420821168,-0.16145713286333904,0.11902962002899223
TITAN.NS,0.5904968369363052,-0.033052160755756115,0.7054314951832571,-0.02251959495919322,0.09559356784002754,-0.061555950620307005,-0.22218616122980334,0.05565603954516883,-0.029066032765255857,0.0337647523112262
BAJAJ-AUTO.NS,0.6050470312154614,0.42427121604233703,0.2620304116124547,0.37490758120632944,-0.1889232142282963,0.1253274739626498,0.08315766430190909,0.05771036233911021,0.41221476165720705,-0.03968810249976376
TVSMOTOR.NS,0.6812454538422152,0.31341115338820863,0.06642667416913643,-0.07493528916674486,-0.24235309445479788,0.4997218695461445,-0.008623260566807926,-0.06911928832149801,-0.33314106804259974,-0.02782589187563955
M&M.NS,0.6964364846136386,0.23018019863360023,-0.4245902440914266,-0.13636587260091004,-0.23246210073146262,-0.14959689364400372,0.30176721325066336,0.1060848414543421,0.008827631339738936,0.02576103195384353
JUBLFOOD.NS,0.6735287686474359,-0.37499936326456074,0.08101873760696796,-0.2917407522156397,0.33168905491779516,0.1734559675910057,0.21621507882104893,0.1504692548793378,0.06811192019965166,0.2972368632553905
BATAINDIA.NS,0.6429742881901583,-0.15524313111277147,0.28517552661557705,-0.48810602606241715,-0.10714940501274417,-0.30426811428526757,0.14155420114842546,-0.19709374416648678,-0.0049228681152545745,-0.23523883775580132
CROMPTON.NS,0.5645017382827437,-0.6010403959070216,-0.218592361187549,0.09004733640149208,-0.15862431398166704,0.025942968175964445,-0.20306360643786484,0.3942202263968288,-0.006196776026352953,-0.19916288641119015
VOLTAS.NS,0.42926794973180527,-0.3171904193711771,0.10555575392827045,0.7366626090775115,0.11525387860429158,-0.1617743349338457,0.24687399997116363,-0.10353569492936474,-0.22465788953077565,-0.01162519717102756
