,Consumer Defensive_PC1,Consumer Defensive_PC2,Consumer Defensive_PC3,Consumer Defensive_PC4,Consumer Defensive_PC5,Consumer Defensive_PC6,Consumer Defensive_PC7,Consumer Defensive_PC8,Consumer Defensive_PC9,Consumer Defensive_PC10
HINDUNILVR.NS,0.8012823126819075,0.2816249764639976,-0.119866995362495,-0.29497177541447966,0.07205307465782419,0.07122914020272246,0.0061787647888154095,0.041964319641632775,-0.13190869710689682,-0.19624618424467505
ITC.NS,0.4114651495911944,0.29170923326136927,0.7283996291365957,-0.1615903019140585,0.2963386645983275,-0.011365315318100684,0.19972290688001526,-0.05356186155279379,0.050352994567317434,0.22596632756281546
BRITANNIA.NS,0.7407026372595487,0.4829288489118496,-0.09945233346487936,-0.160613664010407,0.05373097098980883,0.19780306087976574,-0.029030219292340037,-0.07470070574764169,-0.0435082927597585,-0.12357924450718233
NESTLEIND.NS,0.6351968934448758,0.371274716216582,-0.11485019082702166,0.3645929309377101,-0.29288440272763655,-0.038445593800758425,0.10831032482916966,0.4202921864522151,-0.07576594238071727,0.1601718750407548
DABUR.NS,0.8154923960249562,-0.030346496559592966,-0.2291125706879937,-0.18616741136535037,0.01779202861753102,-0.08101442661628531,0.06528416553972856,-0.09473331076056293,0.11150084437042015,-0.13722088906664975
MARICO.NS,0.6394329626640454,-0.3989647684640418,0.18296186793923638,-0.3385830494186647,0.015599791527882103,0.09978957533436304,-0.2810756472267991,0.35074190559739193,0.2601540829166051,0.011717381641189482
GODREJCP.NS,0.7351246816021518,-0.005497486906688693,-0.29597996093891416,0.005218278616304535,0.16813270599117303,-0.2083550093455522,-0.3732012222395722,-0.17373977926633707,-0.13712467785114743,0.3352823630753912
COLPAL.NS,0.599870888084719,-0.17270745464896917,0.5169331181056064,0.26026264652333075,-0.1311244404632382,-0.31822584319007075,-0.17860744854748878,-0.024115294775304056,-0.24888128260200754,-0.24767220193295736
EMAMILTD.NS,0.5960931083814048,-0.44200368979786964,-0.10467443295560813,-0.3493306387410905,-0.26709300269220887,-0.15767444754295779,0.40197439616649755,-0.04414726729187209,-0.15149619841973544,0.11727012318781392
UBL.NS,0.62089759489298,-0.2916560102969799,0.13736495886414105,0.2657608141289998,-0.1802850475958939,0.5967210592541436,-0.030340759918117185,-0.16644668044478228,-0.11187780019520058,0.0700079793639854
TATACONSUM.NS,0.7384604698615892,0.0640071469650187,-0.009607797591521137,0.33606250206321103,-0.19632481554206413,-0.14806226466961422,0.06744976374607363,-0.2160623069188989,0.44545863709266076,-0.022339861132670478
VBL.NS,0.4955926268415287,-0.311605361473291,-0.19271634344931707,0.3907176263470385,0.6321252585759428,0.009387546018560438,0.20777329383309884,0.12340137352039678,-0.02225882845072754,-0.0732483790168253
