,Industrials_PC1,Industrials_PC2,Industrials_PC3,Industrials_PC4,Industrials_PC5,Industrials_PC6,Industrials_PC7,Industrials_PC8,Industrials_PC9,Industrials_PC10,Industrials_PC11,Industrials_PC12
GRAPHITE.NS,0.6431444871327552,-0.1091445510600648,-0.3656337475853105,0.06920751950315407,0.2042629328927589,0.40738047436047375,-0.3217196614103705,0.0002974072436700296,-0.13878248437562363,-0.038894651827323275,0.27975017303699773,-0.019369253340978807
LT.NS,0.6764575884950975,-0.38946406808524897,-0.15614333352883472,-0.12874276436116924,0.028469604984993777,0.03893818377200549,-0.012085953626662913,0.3539742075700889,0.31872889796878656,0.3057606573284985,-0.08766534125337207,0.12998172445004255
ADANIPORTS.NS,0.6981182590474526,0.3493758339772428,-0.26547464757576505,-0.0480156721483864,-0.09345230975246244,0.1362489712924006,-0.08344615893572842,-0.19867274711934976,0.34083854657645524,-0.19698799345212012,-0.10519108109139873,-0.05900176659177256
BHEL.NS,0.7792825373830157,0.03985577169209189,-0.12525117772025507,-0.1833835745014498,-0.2926543457901394,0.11127240371626193,-0.08225649858471822,0.11404799903150499,-0.19838783548538466,0.09000051231539212,-0.137214501122971,-0.2867719801013027
BEL.NS,0.7834554981693874,0.11042306299236325,-0.007274248127707194,-0.09121452769414892,-0.10494180776412772,-0.30068210647131355,0.05603198228934794,-0.1613486487095175,0.25590623533756024,-0.034845078667364277,0.05155092623082327,-0.11007593444999197
CONCOR.NS,0.7455065826135896,0.33261700870794164,-0.041341949338639584,-0.041272821945518026,-0.3107381820639765,0.03316665024283924,0.008291137698998018,-0.08521207381851052,-0.15061021976258632,0.012007968783058286,-0.001812853881133045,0.43567747246429306
HAVELLS.NS,0.6115650985657832,0.17607774435372367,0.29385365097976923,-0.010263060278207317,0.521639769878926,-0.2862310479669383,-0.22486069145567653,0.02987068411419888,0.08205508709471382,0.012136547330787013,0.1668236547123095,0.02590240215831509
CUMMINSIND.NS,0.46853926465908546,0.6430579355722711,-0.020320357265102028,0.17865554487237506,0.19881244772262094,0.008007107275405849,0.28482740711980836,0.4190504825648323,-0.11806904550928564,-0.04692899943441242,-0.03066064051134275,-0.058265078929247274
ASTRAL.NS,0.6810316863991746,-0.0012009690066173773,0.11786844026819676,0.3085620194717717,0.2668905914482334,0.1395331271704984,0.22286672190214138,-0.3950553839533435,-0.10077175975808121,0.3196335772395362,-0.11820079475636665,-0.04809181463966759
TITAGARH.NS,0.6239643833906559,-0.3684226381342948,0.21710423929186057,0.2338315272611879,-0.23391803006606401,0.12128654116761566,0.4125169691956644,0.0503456107265509,0.08753936828057104,-0.14075708859980934,0.29099169646412143,-0.030456605244017845
ASHOKLEY.NS,0.46917175146840434,-0.07404586958194474,0.3868612346890471,0.535703097483589,-0.34901912614504305,-0.1801714647646873,-0.380989944886332,0.09048938224567266,-0.061538703665610796,0.009315455455242925,-0.05368105599219127,-0.03664857740807701
ESCORTS.NS,0.3612666370841361,-0.07985534994539617,0.7133967446475524,-0.3728491517229699,0.1232643783935318,0.3739088862895645,-0.04380730453315555,0.024449549691220672,0.017358737880879757,-0.15102250760460637,-0.15370198858444747,0.02441019566070428
CYIENT.NS,0.582721109342751,-0.4916962323236491,-0.2815385097741,0.1965370394934354,0.2800687346071932,-0.17171169467382355,0.05845700967876021,0.01751451887732882,-0.13395189572110736,-0.30288057465730805,-0.268017002613762,0.07441854797867915
IRCTC.NS,0.6470624034117382,-0.16066758811094478,-0.0013312611316368703,-0.530706532939491,-0.054722975598969804,-0.32334915496663835,0.06609126773665312,-0.059275215414947284,-0.27524719275379217,0.02366040026313468,0.10644234968773875,-0.0326693811396356
