,Utilities_PC1,Utilities_PC2,Utilities_PC3,Utilities_PC4,Utilities_PC5,Utilities_PC6,Utilities_PC7,Utilities_PC8,Utilities_PC9,Utilities_PC10,Utilities_PC11
GAIL.NS,0.7647842035141069,0.018661606453601057,0.13711064789076705,-0.09326832413971937,-0.036128357856529,0.35471886516539997,-0.11762165965497157,-0.41269622979003423,-0.0630369465165618,-0.043506585702237435,-0.1371785739014894
GSPL.NS,0.49234077206854837,0.5368330526957409,-0.03591599163204359,0.12228944022483901,0.5973906620921127,0.02269418567426997,-0.20539408087881575,0.09814341542463764,0.15548850577818646,-0.08208498121881869,-0.03720503006848665
IGL.NS,0.4011940404152112,0.7726308872126652,0.10922194054411201,-0.03575174782719534,-0.34232815731082844,-0.12614370284557427,0.07873292564285472,0.025392238834701878,0.08679157329351679,0.1783901285790264,-0.019607790213191444
MGL.NS,0.634151265887726,0.6129434594075663,0.25447755458990945,-0.08330905936690727,-0.10166237824711682,0.02860644106734509,0.009191633275224832,-0.0928199814744288,-0.08399883289547162,-0.18630592083077838,0.1061957321755713
ADANIGREEN.NS,0.5630552956212678,-0.3173862745256652,0.5932396322533369,0.2227817110618286,0.17099222095999125,-0.05030769668630389,-0.1754588285837808,0.004651309120252486,-0.12522656664657753,0.21393446073775735,0.1865117739254804
NTPC.NS,0.816947664596845,-0.3031083500291732,-0.10111919299520367,0.053979427232813244,-0.08939608970395166,0.10905638532552908,0.07535299342614835,-0.18903645450845386,0.01751806667549202,-0.0805278815139994,0.1813524646917527
POWERGRID.NS,0.7063630170016763,-0.1322518473147376,0.08332212964218634,-0.14973964680201457,-0.13734700423684362,0.45265307247766123,-0.09353779174566756,0.42739874374501097,-0.006074193365152948,0.08856233839590573,-0.15007500787770112
ADANIPOWER.NS,0.6306883436370737,-0.30679499058245635,0.4160403358727735,0.1583327823778798,-0.18582182590153337,-0.36749790831461154,-0.0787448104288838,0.05250723341839031,0.19462336952690032,-0.18845167697220278,-0.22865695206629227
TATAPOWER.NS,0.7905653663176007,-0.25263517802292557,-0.2511816680330491,0.025985311290576844,0.11892167371735975,0.05509040695892254,0.2593269913035722,-0.00721989239361738,0.18421616806410107,-0.11786669101597327,-0.048200922726478974
TORNTPOWER.NS,0.6791658902239117,0.1294756408156693,-0.04082397746697287,0.48415493447929886,0.05465023178660047,0.014845693733874057,0.4369869204060814,0.10860273813181623,-0.2251365916627179,0.03260386924764317,-0.03752731992304306
NHPC.NS,0.7663560113354144,-0.09519048610515242,0.040414021960219204,-0.4413469201112455,0.020196184419558394,-0.11035635103192716,0.11346043993815705,0.19173323763472494,0.09585442055813054,-0.06801490497892738,0.2701768555508689
SJVN.NS,0.6958852486723858,-0.0805967723323959,-0.10046475040529783,-0.44940559778679834,0.2195272887021529,-0.3092885342637874,0.07222786969220066,-0.07997993292310543,-0.2718958704872337,0.13962634764883874,-0.1956318693108793
JSWENERGY.NS,0.6290621910031863,0.004352801495775264,-0.499164186541549,0.17850805443266302,-0.19415154774907645,-0.14925094980141382,-0.3870521414635154,0.12223414557170778,-0.2619337943233578,-0.13185422311643724,0.05405093383170693
CESC.NS,0.7729998587972242,-0.03353720324037445,-0.3697169994166877,0.13451158452654768,-0.0659191401006055,-0.07589005172202894,-0.11501093581245406,-0.1338235634342778,0.27896330961481197,0.298620197849552,0.025195679837844615
